customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,payment_method,churn
CUST-000029,31,66.09,2017.27,Two year,DSL,Yes,Credit card,0
CUST-000030,32,15.0,467.62,One year,Fiber optic,Yes,Electronic check,0
CUST-000031,16,71.35,1229.75,Two year,Fiber optic,No,Mailed check,1
CUST-000032,6,87.86,636.6,Month-to-month,DSL,Yes,Mailed check,1
CUST-000033,39,56.6,2287.57,Month-to-month,Fiber optic,Yes,Electronic check,0
CUST-000034,63,119.5,8301.44,One year,DSL,No,Credit card,0
CUST-000035,4,38.56,186.23,Month-to-month,Fiber optic,No,Electronic check,1
CUST-000036,61,71.52,4474.21,One year,Fiber optic,No,Credit card,0
CUST-000037,59,63.93,3510.81,Month-to-month,No,No,Credit card,0
CUST-000038,19,61.99,1252.9,Two year,DSL,No,Bank transfer,1
CUST-000039,45,61.57,3040.32,Month-to-month,No,No,Mailed check,1
CUST-000040,11,68.21,775.93,Two year,DSL,No,Mailed check,0
CUST-000041,54,90.44,5183.58,Month-to-month,Fiber optic,Yes,Bank transfer,0
CUST-000042,50,106.33,5813.67,Month-to-month,DSL,No,Bank transfer,0
CUST-000043,25,64.93,1630.02,Month-to-month,DSL,No,Bank transfer,1
CUST-000044,4,89.46,457.74,Month-to-month,DSL,No,Bank transfer,0
CUST-000045,69,43.95,3319.26,Two year,Fiber optic,No,Credit card,0
CUST-000046,32,87.98,2936.75,Two year,DSL,No,Credit card,0
CUST-000047,64,42.14,2846.86,Two year,Fiber optic,No,Credit card,1
CUST-000048,48,97.72,4363.56,Two year,No,No,Mailed check,0
CUST-000049,56,131.32,7708.68,One year,DSL,No,Electronic check,0
CUST-000050,54,61.34,3460.81,Month-to-month,DSL,No,Mailed check,0
CUST-000051,14,15.0,210.08,Two year,DSL,No,Mailed check,1
CUST-000052,26,48.56,1247.85,Month-to-month,DSL,No,Mailed check,1
CUST-000053,33,101.96,3571.2,Two year,Fiber optic,No,Bank transfer,0
CUST-000054,35,81.59,2892.86,Month-to-month,Fiber optic,Yes,Credit card,1
CUST-000055,3,72.47,305.99,One year,DSL,Yes,Credit card,0
CUST-000056,39,95.26,3869.6,Month-to-month,DSL,No,Bank transfer,0
CUST-000057,11,79.53,957.1,Month-to-month,Fiber optic,Yes,Bank transfer,0
CUST-000058,53,101.53,5435.99,Month-to-month,DSL,Yes,Mailed check,0
CUST-000059,49,92.58,4696.88,Month-to-month,Fiber optic,Yes,Bank transfer,0
CUST-000060,66,110.65,7711.25,Month-to-month,No,No,Mailed check,0
CUST-000061,53,75.76,4200.46,Month-to-month,DSL,No,Credit card,0
CUST-000062,26,92.16,2435.63,Month-to-month,Fiber optic,No,Credit card,1
CUST-000063,69,55.79,4147.04,One year,No,No,Mailed check,0
CUST-000064,29,46.96,1455.01,Month-to-month,Fiber optic,No,Bank transfer,1
CUST-000065,23,116.2,2842.59,Two year,Fiber optic,No,Electronic check,0
CUST-000066,65,71.49,4739.72,Month-to-month,Fiber optic,No,Mailed check,0
CUST-000067,26,89.15,2467.13,One year,Fiber optic,No,Credit card,0
CUST-000068,5,68.71,374.52,Month-to-month,Fiber optic,No,Bank transfer,1
CUST-000069,33,47.4,1631.2,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000070,57,65.33,4099.85,One year,Fiber optic,Yes,Electronic check,0
CUST-000071,13,108.08,1529.76,One year,Fiber optic,Yes,Credit card,1
CUST-000072,33,81.66,2787.93,Month-to-month,Fiber optic,No,Credit card,0
CUST-000073,9,15.0,145.53,Month-to-month,No,No,Mailed check,0
CUST-000074,49,58.54,2999.25,Month-to-month,DSL,No,Credit card,0
CUST-000075,34,118.47,4105.97,Month-to-month,DSL,Yes,Bank transfer,0
CUST-000076,23,58.59,1498.11,Month-to-month,DSL,No,Mailed check,1
CUST-000077,16,15.0,243.99,One year,DSL,No,Mailed check,0
CUST-000078,40,121.79,4880.52,Month-to-month,Fiber optic,No,Bank transfer,1
CUST-000079,48,85.47,4062.29,One year,DSL,No,Mailed check,0
CUST-000080,67,62.9,4669.51,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000081,31,53.86,1707.09,Month-to-month,Fiber optic,No,Electronic check,0
CUST-000082,11,97.47,1137.59,Month-to-month,DSL,No,Mailed check,0
CUST-000083,59,48.74,2618.74,Month-to-month,DSL,No,Bank transfer,0
CUST-000084,45,99.45,4366.14,Month-to-month,Fiber optic,No,Credit card,1
CUST-000085,50,81.27,4253.95,Two year,Fiber optic,No,Mailed check,0
CUST-000086,7,72.34,593.88,One year,Fiber optic,Yes,Bank transfer,0
CUST-000087,22,69.37,1543.46,Month-to-month,DSL,No,Mailed check,1
CUST-000088,55,59.75,3246.4,Month-to-month,DSL,No,Credit card,0
CUST-000089,59,96.37,6319.86,Two year,DSL,Yes,Mailed check,0
CUST-000090,31,39.04,1417.7,Month-to-month,DSL,No,Bank transfer,1
CUST-000091,57,16.34,1002.34,Month-to-month,No,No,Mailed check,0
CUST-000092,60,83.43,5486.22,Two year,DSL,Yes,Mailed check,0
CUST-000093,27,83.94,2558.4,Month-to-month,DSL,No,Bank transfer,0
CUST-000094,64,79.41,5732.99,Month-to-month,No,Yes,Bank transfer,0
CUST-000095,20,77.23,1597.38,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000096,17,55.38,953.13,One year,Fiber optic,No,Credit card,1
CUST-000097,49,88.62,4837.45,Month-to-month,Fiber optic,No,Bank transfer,1
CUST-000098,45,63.63,2786.0,One year,No,No,Credit card,0
CUST-000099,10,50.39,525.75,Month-to-month,DSL,Yes,Mailed check,1
CUST-000100,59,55.64,3170.73,Month-to-month,DSL,No,Bank transfer,0
CUST-000101,14,125.62,1871.91,Month-to-month,No,Yes,Mailed check,1
CUST-000102,57,15.0,783.68,Two year,Fiber optic,No,Bank transfer,0
CUST-000103,0,79.99,74.26,Month-to-month,No,No,Electronic check,1
CUST-000104,57,15.0,842.93,One year,DSL,Yes,Credit card,0
CUST-000105,56,61.75,3309.44,Month-to-month,No,No,Bank transfer,0
CUST-000106,56,51.99,3120.92,Month-to-month,DSL,No,Bank transfer,0
CUST-000107,47,15.0,720.24,Month-to-month,Fiber optic,No,Credit card,0
CUST-000108,33,76.67,2682.03,Month-to-month,No,Yes,Mailed check,0
CUST-000109,50,53.6,2797.44,Month-to-month,DSL,No,Mailed check,0
CUST-000110,19,15.0,296.9,Two year,DSL,Yes,Bank transfer,0
CUST-000111,56,90.19,5394.64,Two year,Fiber optic,No,Credit card,0
CUST-000112,40,108.05,4530.21,One year,No,No,Mailed check,0
CUST-000113,33,109.7,3670.55,One year,DSL,No,Electronic check,0
CUST-000114,36,75.77,2567.4,Month-to-month,No,No,Electronic check,1
CUST-000115,40,66.38,2792.5,One year,DSL,No,Bank transfer,0
CUST-000116,2,104.84,294.7,Month-to-month,Fiber optic,No,Electronic check,1
CUST-000117,10,115.47,1294.34,Two year,DSL,No,Bank transfer,0
CUST-000118,17,99.01,1789.16,Two year,No,No,Credit card,1
CUST-000119,8,36.75,308.29,Month-to-month,DSL,No,Bank transfer,1
CUST-000120,31,71.04,2302.66,Two year,Fiber optic,No,Electronic check,0
CUST-000121,48,78.19,3867.74,Two year,DSL,Yes,Bank transfer,0
CUST-000122,47,15.0,727.02,Month-to-month,No,No,Mailed check,0
CUST-000123,33,79.08,2708.51,Two year,Fiber optic,No,Electronic check,0
CUST-000124,61,133.19,7988.4,Month-to-month,DSL,No,Electronic check,0
CUST-000125,40,84.2,3554.24,Month-to-month,DSL,No,Bank transfer,0
CUST-000126,5,109.2,632.69,Month-to-month,Fiber optic,Yes,Bank transfer,0
CUST-000127,55,70.49,3735.21,One year,Fiber optic,Yes,Mailed check,0
CUST-000128,41,62.8,2726.72,Month-to-month,No,No,Credit card,0
CUST-000129,45,76.44,3680.79,Two year,Fiber optic,No,Bank transfer,0
CUST-000130,40,40.53,1711.89,Month-to-month,Fiber optic,No,Credit card,0
CUST-000131,39,36.09,1428.52,Month-to-month,Fiber optic,No,Electronic check,1
CUST-000132,6,102.99,651.01,One year,Fiber optic,Yes,Mailed check,0
CUST-000133,40,106.17,4675.47,Month-to-month,DSL,No,Electronic check,0
CUST-000134,57,35.27,1845.52,One year,DSL,No,Mailed check,0
CUST-000135,21,94.04,2129.5,Month-to-month,DSL,No,Credit card,1
CUST-000136,43,62.39,3034.87,Two year,Fiber optic,Yes,Mailed check,0
CUST-000137,2,75.19,227.27,One year,DSL,No,Mailed check,1
CUST-000138,25,78.81,2078.81,Month-to-month,Fiber optic,No,Electronic check,1
CUST-000139,31,94.83,3092.13,Month-to-month,DSL,No,Mailed check,0
CUST-000140,70,67.48,4838.66,Month-to-month,Fiber optic,No,Electronic check,0
CUST-000141,15,107.3,1918.66,Two year,DSL,Yes,Electronic check,1
CUST-000142,19,74.28,1423.02,One year,Fiber optic,No,Electronic check,0
CUST-000143,29,83.73,2390.11,Month-to-month,DSL,Yes,Bank transfer,0
CUST-000144,71,40.0,2832.99,Month-to-month,DSL,No,Bank transfer,0
CUST-000145,61,129.76,8745.36,Two year,DSL,No,Bank transfer,0
CUST-000146,2,79.09,230.44,Month-to-month,Fiber optic,Yes,Electronic check,1
CUST-000147,16,86.39,1500.23,One year,Fiber optic,No,Credit card,1
CUST-000148,59,16.75,1059.1,One year,DSL,Yes,Bank transfer,0
CUST-000149,4,40.32,209.45,Month-to-month,Fiber optic,No,Bank transfer,1
CUST-000150,61,102.14,6654.81,Month-to-month,Fiber optic,Yes,Credit card,1
CUST-000151,20,73.61,1655.33,Month-to-month,Fiber optic,No,Mailed check,0
CUST-000152,66,15.0,1020.49,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000153,21,96.15,2066.93,Two year,DSL,Yes,Electronic check,0
CUST-000154,31,48.69,1569.44,One year,Fiber optic,No,Mailed check,0
CUST-000155,47,107.34,5064.95,Two year,Fiber optic,Yes,Mailed check,0
CUST-000156,9,62.36,702.28,Month-to-month,Fiber optic,No,Electronic check,1
CUST-000157,40,71.14,2839.11,Month-to-month,DSL,Yes,Bank transfer,0
CUST-000158,36,100.37,3803.35,One year,Fiber optic,No,Electronic check,0
CUST-000159,56,38.08,2007.42,Month-to-month,DSL,Yes,Credit card,0
CUST-000160,71,35.21,2552.29,Month-to-month,Fiber optic,Yes,Electronic check,0
CUST-000161,47,59.11,2796.32,Month-to-month,DSL,Yes,Electronic check,1
CUST-000162,29,89.82,2785.49,One year,DSL,No,Mailed check,0
CUST-000163,29,25.07,778.6,One year,Fiber optic,No,Mailed check,0
CUST-000164,30,15.0,497.95,Month-to-month,No,No,Bank transfer,1
CUST-000165,58,89.71,5646.97,Two year,DSL,No,Bank transfer,0
CUST-000166,23,46.91,1122.12,Month-to-month,Fiber optic,Yes,Bank transfer,0
CUST-000167,12,53.23,659.35,Month-to-month,Fiber optic,No,Bank transfer,1
CUST-000168,24,15.0,359.49,Month-to-month,No,No,Credit card,0
CUST-000169,1,44.63,90.61,Two year,Fiber optic,No,Bank transfer,1
CUST-000170,7,64.77,522.27,Month-to-month,DSL,No,Electronic check,1
CUST-000171,6,92.91,658.77,Month-to-month,DSL,No,Mailed check,1
CUST-000172,55,41.86,2281.61,Month-to-month,Fiber optic,Yes,Bank transfer,0
CUST-000173,52,114.72,6517.16,One year,DSL,No,Mailed check,0
CUST-000174,50,44.46,2100.65,One year,No,Yes,Credit card,0
CUST-000175,33,44.51,1468.57,Month-to-month,No,No,Mailed check,0
CUST-000176,51,111.12,5467.09,Two year,No,Yes,Mailed check,0
CUST-000177,11,71.34,847.18,Month-to-month,DSL,No,Mailed check,1
CUST-000178,64,48.44,3344.8,Month-to-month,Fiber optic,No,Bank transfer,1
CUST-000179,36,60.35,2200.68,One year,Fiber optic,No,Bank transfer,0
CUST-000180,67,105.59,7216.7,One year,DSL,No,Mailed check,0
CUST-000181,10,108.99,1238.66,Month-to-month,DSL,No,Electronic check,0
CUST-000182,35,40.5,1433.42,One year,DSL,No,Electronic check,0
CUST-000183,50,63.73,3312.25,Month-to-month,Fiber optic,No,Mailed check,0
CUST-000184,35,67.7,2467.93,One year,No,No,Credit card,1
CUST-000185,32,35.41,1102.55,One year,No,Yes,Credit card,0
CUST-000186,11,63.33,742.31,Two year,DSL,No,Bank transfer,0
CUST-000187,27,65.16,1856.82,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000188,17,99.21,1900.19,One year,DSL,No,Bank transfer,0
CUST-000189,21,101.22,2369.56,One year,DSL,Yes,Electronic check,1
CUST-000190,49,55.12,3044.96,Month-to-month,DSL,No,Mailed check,1
CUST-000191,45,58.58,2760.15,Month-to-month,Fiber optic,No,Credit card,0
CUST-000192,43,84.93,3659.64,Two year,Fiber optic,No,Bank transfer,1
CUST-000193,26,47.44,1276.9,Month-to-month,No,No,Electronic check,0
CUST-000194,69,82.66,5753.23,One year,No,Yes,Electronic check,0
CUST-000195,6,62.36,427.64,Month-to-month,DSL,No,Credit card,0
CUST-000196,24,35.92,915.14,Two year,Fiber optic,No,Credit card,1
CUST-000197,8,36.29,333.67,Month-to-month,DSL,No,Electronic check,0
CUST-000198,24,108.41,2551.23,Two year,Fiber optic,No,Mailed check,1
CUST-000199,69,60.31,4451.2,One year,Fiber optic,Yes,Credit card,0
CUST-000200,26,114.21,2800.48,Month-to-month,DSL,No,Mailed check,1
CUST-000201,65,49.59,3236.59,One year,DSL,Yes,Electronic check,0
CUST-000202,35,73.74,2807.04,One year,DSL,No,Mailed check,0
CUST-000203,50,136.78,7187.65,Month-to-month,DSL,No,Mailed check,0
CUST-000204,32,33.28,1078.59,Month-to-month,No,Yes,Mailed check,0
CUST-000205,19,15.0,329.53,One year,DSL,No,Credit card,0
CUST-000206,55,103.6,5673.82,One year,Fiber optic,No,Credit card,0
CUST-000207,69,40.2,2532.06,Month-to-month,No,No,Bank transfer,0
CUST-000208,18,64.38,1250.89,Two year,Fiber optic,Yes,Electronic check,1
CUST-000209,56,47.42,2462.71,Month-to-month,Fiber optic,No,Mailed check,0
CUST-000210,18,73.04,1330.16,Month-to-month,No,No,Electronic check,1
CUST-000211,51,36.48,1956.24,One year,DSL,No,Electronic check,0
CUST-000212,56,59.6,3319.02,Month-to-month,DSL,No,Mailed check,0
CUST-000213,32,78.49,2665.52,Month-to-month,Fiber optic,No,Electronic check,0
CUST-000214,53,34.75,1767.88,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000215,19,44.0,917.72,Month-to-month,Fiber optic,Yes,Mailed check,0
CUST-000216,5,54.58,299.78,Month-to-month,DSL,Yes,Bank transfer,0
CUST-000217,6,22.14,165.16,One year,Fiber optic,No,Bank transfer,0
CUST-000218,32,52.32,1685.63,Month-to-month,Fiber optic,No,Credit card,0
CUST-000219,64,68.56,4797.85,Two year,No,No,Mailed check,0
CUST-000220,9,53.01,507.86,One year,DSL,Yes,Electronic check,0
CUST-000221,32,56.86,2056.91,Month-to-month,DSL,Yes,Credit card,0
CUST-000222,50,64.4,3127.28,Month-to-month,No,No,Mailed check,0
CUST-000223,14,45.33,618.93,One year,Fiber optic,Yes,Credit card,0
CUST-000224,51,85.73,4467.67,Month-to-month,DSL,No,Credit card,0
CUST-000225,22,108.08,2639.2,Month-to-month,DSL,No,Credit card,0
CUST-000226,58,51.07,3132.18,Two year,Fiber optic,Yes,Bank transfer,0
CUST-000227,41,79.56,3535.64,One year,Fiber optic,No,Bank transfer,0
CUST-000228,39,57.81,2406.17,One year,Fiber optic,No,Mailed check,0
CUST-000229,12,75.96,947.04,Month-to-month,No,No,Mailed check,0
CUST-000230,33,111.97,3952.99,Month-to-month,DSL,Yes,Credit card,0
CUST-000231,61,80.26,4999.2,Month-to-month,DSL,No,Bank transfer,0
CUST-000232,1,15.0,28.94,One year,Fiber optic,No,Electronic check,0
CUST-000233,54,78.62,4362.87,Month-to-month,No,No,Mailed check,0
CUST-000234,35,101.99,3661.15,Month-to-month,DSL,Yes,Credit card,1
CUST-000235,51,58.35,3249.14,Month-to-month,Fiber optic,Yes,Electronic check,0
CUST-000236,47,94.87,4436.48,One year,DSL,No,Mailed check,1
CUST-000237,31,44.3,1377.68,One year,DSL,No,Credit card,0
CUST-000238,22,20.43,453.56,Month-to-month,No,No,Mailed check,0
CUST-000239,45,69.24,3486.87,Month-to-month,DSL,No,Bank transfer,0
CUST-000240,10,15.0,159.7,Month-to-month,DSL,No,Credit card,0
CUST-000241,42,57.81,2646.87,Month-to-month,Fiber optic,No,Mailed check,0
CUST-000242,6,103.61,687.84,Month-to-month,Fiber optic,Yes,Credit card,0
CUST-000243,46,15.0,722.86,Month-to-month,Fiber optic,Yes,Mailed check,0
CUST-000244,45,26.62,1240.36,One year,Fiber optic,Yes,Mailed check,0
CUST-000245,6,34.04,252.97,One year,DSL,No,Electronic check,0
CUST-000246,54,63.1,3659.38,Two year,Fiber optic,Yes,Mailed check,0
CUST-000247,29,54.03,1627.49,Two year,DSL,No,Bank transfer,0
CUST-000248,56,106.97,5933.78,Month-to-month,DSL,No,Electronic check,1
CUST-000249,2,93.63,303.71,Month-to-month,Fiber optic,No,Mailed check,1
CUST-000250,12,79.86,1005.09,Month-to-month,DSL,No,Bank transfer,1
CUST-000251,35,69.37,2214.12,One year,No,Yes,Credit card,0
CUST-000252,13,76.8,975.24,Month-to-month,No,No,Bank transfer,0
CUST-000253,23,39.14,863.52,Month-to-month,No,No,Bank transfer,0
CUST-000254,47,90.72,4484.08,Month-to-month,DSL,No,Bank transfer,0
CUST-000255,10,31.64,386.56,Month-to-month,DSL,No,Mailed check,1
CUST-000256,48,90.06,3962.89,One year,No,No,Mailed check,0
CUST-000257,7,100.58,773.19,One year,Fiber optic,No,Bank transfer,0
CUST-000258,12,71.33,931.36,Month-to-month,Fiber optic,Yes,Electronic check,0
CUST-000259,42,59.71,2766.1,Two year,No,No,Credit card,1
CUST-000260,57,77.01,4290.57,Month-to-month,DSL,No,Mailed check,0
CUST-000261,12,15.0,200.76,Month-to-month,DSL,Yes,Credit card,0
CUST-000262,21,74.07,1609.11,Month-to-month,Fiber optic,Yes,Electronic check,1
CUST-000263,66,61.6,4665.17,One year,Fiber optic,No,Mailed check,0
CUST-000264,71,63.48,4603.68,One year,DSL,No,Mailed check,0
CUST-000265,41,86.2,3684.61,Month-to-month,Fiber optic,Yes,Mailed check,0
CUST-000266,32,62.76,2079.7,Two year,Fiber optic,No,Bank transfer,0
CUST-000267,24,30.79,753.88,Month-to-month,Fiber optic,No,Bank transfer,1
CUST-000268,44,60.76,2863.96,Month-to-month,DSL,No,Credit card,1
CUST-000269,42,67.03,2715.12,One year,Fiber optic,No,Credit card,0
CUST-000270,21,68.45,1355.12,Two year,Fiber optic,No,Electronic check,0
CUST-000271,1,69.86,138.67,One year,No,Yes,Credit card,0
CUST-000272,10,96.18,1101.13,Two year,DSL,No,Mailed check,0
CUST-000273,69,32.42,2203.43,Month-to-month,No,Yes,Mailed check,0
CUST-000274,30,70.27,2198.71,One year,Fiber optic,No,Electronic check,0
CUST-000275,34,103.7,3407.9,Two year,Fiber optic,No,Bank transfer,0
CUST-000276,33,15.0,537.1,Month-to-month,DSL,No,Credit card,0
CUST-000277,56,70.39,4142.98,Month-to-month,DSL,No,Mailed check,0
CUST-000278,4,47.44,237.43,Two year,Fiber optic,No,Credit card,0
CUST-000279,5,53.88,326.0,Month-to-month,DSL,No,Electronic check,1
CUST-000280,19,37.86,704.36,Month-to-month,DSL,Yes,Credit card,0
CUST-000281,35,59.91,2011.41,Two year,No,No,Mailed check,0
CUST-000282,48,120.24,5855.71,Two year,DSL,No,Mailed check,0
CUST-000283,35,27.07,999.44,Two year,No,No,Electronic check,0
CUST-000284,31,29.91,984.18,Two year,Fiber optic,No,Credit card,0
CUST-000285,67,25.94,1732.04,Month-to-month,No,No,Bank transfer,0
CUST-000286,11,116.82,1454.12,Two year,DSL,No,Credit card,0
CUST-000287,41,51.13,2300.01,Month-to-month,Fiber optic,No,Mailed check,0
CUST-000288,39,64.23,2557.84,One year,Fiber optic,Yes,Electronic check,0
CUST-000289,34,52.92,1880.75,Month-to-month,No,No,Bank transfer,0
CUST-000290,58,36.67,2140.89,Two year,DSL,No,Electronic check,0
CUST-000291,19,57.95,1151.59,One year,DSL,No,Bank transfer,0
CUST-000292,68,138.75,9654.73,Two year,No,No,Electronic check,0
CUST-000293,23,106.76,2780.5,Month-to-month,DSL,No,Electronic check,0
CUST-000294,39,39.41,1648.62,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000295,37,84.43,3340.6,Month-to-month,DSL,No,Bank transfer,0
CUST-000296,61,40.05,2427.03,Month-to-month,DSL,No,Electronic check,0
CUST-000297,31,15.0,458.44,One year,Fiber optic,No,Electronic check,0
CUST-000298,20,95.59,2046.39,Month-to-month,Fiber optic,No,Credit card,0
CUST-000299,1,99.8,212.02,One year,Fiber optic,No,Electronic check,0
CUST-000300,26,96.38,2826.54,Month-to-month,Fiber optic,Yes,Electronic check,1
CUST-000301,59,50.9,2679.7,Month-to-month,Fiber optic,No,Credit card,0
CUST-000302,0,60.0,67.34,One year,No,Yes,Bank transfer,0
CUST-000303,64,87.49,5805.61,Month-to-month,DSL,No,Electronic check,0
CUST-000304,39,76.74,3209.31,Month-to-month,DSL,Yes,Credit card,0
CUST-000305,10,53.19,534.2,Month-to-month,DSL,No,Mailed check,1
CUST-000306,21,16.43,357.13,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000307,39,68.42,2849.24,One year,DSL,No,Bank transfer,0
CUST-000308,22,97.37,2107.97,Month-to-month,Fiber optic,No,Mailed check,1
CUST-000309,7,29.07,198.99,Month-to-month,Fiber optic,Yes,Mailed check,1
CUST-000310,47,84.16,4107.58,One year,Fiber optic,Yes,Bank transfer,0
CUST-000311,48,74.95,3663.23,Month-to-month,No,Yes,Mailed check,1
CUST-000312,8,87.5,844.3,One year,Fiber optic,No,Electronic check,1
CUST-000313,20,91.16,1899.04,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000314,17,44.17,791.54,Two year,DSL,No,Bank transfer,0
CUST-000315,47,16.49,819.19,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000316,52,48.99,2730.89,Month-to-month,DSL,Yes,Bank transfer,0
CUST-000317,52,91.67,4686.53,Two year,No,No,Bank transfer,0
CUST-000318,67,48.74,3470.83,One year,Fiber optic,No,Credit card,0
CUST-000319,55,44.18,2409.47,One year,DSL,No,Credit card,0
CUST-000320,23,15.0,360.3,Two year,DSL,Yes,Credit card,0
CUST-000321,7,117.58,972.18,Month-to-month,Fiber optic,No,Electronic check,1
CUST-000322,44,89.77,4210.42,Two year,No,No,Electronic check,0
CUST-000323,65,88.1,5906.93,One year,DSL,Yes,Mailed check,0
CUST-000324,70,94.03,6315.55,Month-to-month,DSL,No,Bank transfer,1
CUST-000325,16,82.3,1268.29,Month-to-month,Fiber optic,No,Electronic check,1
CUST-000326,17,57.67,1028.31,Month-to-month,No,No,Electronic check,0
CUST-000327,2,60.09,189.02,Two year,No,No,Electronic check,0
CUST-000328,10,52.17,586.81,Month-to-month,DSL,No,Bank transfer,0
CUST-000329,39,144.04,5831.41,Month-to-month,Fiber optic,No,Credit card,1
CUST-000330,39,81.68,3265.95,One year,Fiber optic,No,Mailed check,0
CUST-000331,26,51.09,1400.64,One year,Fiber optic,No,Bank transfer,0
CUST-000332,22,78.96,1725.92,Month-to-month,Fiber optic,No,Electronic check,1
CUST-000333,59,34.67,2161.59,Two year,Fiber optic,No,Electronic check,0
CUST-000334,33,110.14,3903.05,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000335,58,45.17,2617.57,Two year,DSL,No,Mailed check,0
CUST-000336,69,80.03,5724.69,Month-to-month,DSL,No,Electronic check,0
CUST-000337,22,96.98,2039.08,Month-to-month,Fiber optic,Yes,Electronic check,1
CUST-000338,14,76.54,1158.48,One year,DSL,No,Credit card,0
CUST-000339,68,67.83,4649.4,Month-to-month,Fiber optic,No,Bank transfer,0
CUST-000340,45,65.32,3194.1,Month-to-month,No,Yes,Credit card,0
CUST-000341,20,63.31,1316.24,Month-to-month,No,No,Mailed check,0
CUST-000342,44,47.7,2239.68,One year,DSL,No,Credit card,0
CUST-000343,37,51.52,1919.3,Two year,DSL,No,Credit card,0
CUST-000344,65,109.39,6394.35,Two year,Fiber optic,No,Mailed check,0
CUST-000345,18,61.74,1159.9,Two year,Fiber optic,No,Electronic check,0
CUST-000346,71,41.43,3012.02,Two year,DSL,No,Credit card,0
CUST-000347,67,49.51,3392.14,Month-to-month,No,Yes,Mailed check,0
CUST-000348,13,98.01,1383.54,Month-to-month,DSL,No,Mailed check,0
CUST-000349,11,85.27,997.31,Two year,DSL,No,Credit card,0
CUST-000350,38,81.81,3138.94,Two year,Fiber optic,No,Mailed check,0
CUST-000351,3,57.27,216.2,Two year,Fiber optic,No,Credit card,0
CUST-000352,21,82.2,1627.88,One year,Fiber optic,No,Electronic check,0
CUST-000353,31,45.69,1454.4,Month-to-month,Fiber optic,No,Mailed check,1
CUST-000354,69,57.21,3855.59,Two year,No,Yes,Mailed check,0
CUST-000355,71,94.09,7140.56,Two year,DSL,Yes,Mailed check,0
CUST-000356,10,91.23,894.03,One year,Fiber optic,No,Electronic check,0
CUST-000357,64,35.54,2343.89,Two year,DSL,No,Credit card,0
CUST-000358,6,39.33,304.55,One year,Fiber optic,Yes,Bank transfer,1
CUST-000359,53,68.26,3652.4,Two year,Fiber optic,Yes,Bank transfer,0
